Entry_Time,Entry_Price,Direction,Stop_Loss,Take_Profit,Intended_RR,Position_Size,Exit_Time,Exit_Price,Exit_Reason,PnL,Actual_RR,Balance_After,Return_Pct
2025-07-01 00:00:00,25000.0,BUY,24940.0,25120.0,2.0,1,2025-07-01 09:00:00,24996.46,EMA9_SIGNAL,-3.54,2.0,9996.46,-0.0142
2025-07-01 08:00:00,25011.9968,SELL,25071.9968,24891.9968,2.0,1,2025-07-02 15:00:00,25015.5368,EMA9_SIGNAL,-3.54,2.0,9992.92,-0.0142
2025-07-01 16:00:00,25023.9744,BUY,24963.9744,25143.9744,2.0,1,2025-07-02 23:00:00,25020.4344,EMA9_SIGNAL,-3.54,2.0,9989.38,-0.0141
2025-07-02 00:00:00,25035.9137,SELL,25095.9137,24915.9137,2.0,1,2025-07-03 23:00:00,25039.4537,EMA9_SIGNAL,-3.54,2.0,9985.84,-0.0141
2025-07-02 08:00:00,25047.7955,BUY,24987.7955,25167.7955,2.0,1,2025-07-05 23:00:00,25044.2555,EMA9_SIGNAL,-3.54,2.0,9982.3,-0.0141
2025-07-02 16:00:00,25059.6008,SELL,25119.6008,24939.6008,2.0,1,2025-07-04 01:00:00,25034.6008,EMA9_SIGNAL,25.0,2.0,10007.3,0.0998
2025-07-03 00:00:00,25071.3108,BUY,25011.3108,25191.3108,2.0,1,2025-07-05 17:00:00,25067.7708,EMA9_SIGNAL,-3.54,2.0,10003.76,-0.0141
2025-07-03 08:00:00,25082.9067,SELL,25142.9067,24962.9067,2.0,1,2025-07-06 14:00:00,25086.4467,EMA9_SIGNAL,-3.54,2.0,10000.22,-0.0141
2025-07-03 16:00:00,25094.37,BUY,25034.37,25214.37,2.0,1,2025-07-07 15:00:00,25090.83,EMA9_SIGNAL,-3.54,2.0,9996.68,-0.0141
2025-07-04 00:00:00,25105.6823,SELL,25165.6823,24985.6823,2.0,1,2025-07-07 20:00:00,25109.2223,EMA9_SIGNAL,-3.54,2.0,9993.14,-0.0141
2025-07-04 08:00:00,25116.8255,BUY,25056.8255,25236.8255,2.0,1,2025-07-07 01:00:00,25141.8255,EMA9_SIGNAL,25.0,2.0,10018.14,0.0995
2025-07-04 16:00:00,25127.7818,SELL,25187.7818,25007.7818,2.0,1,2025-07-04 20:00:00,25131.3218,EMA9_SIGNAL,-3.54,2.0,10014.6,-0.0141
2025-07-05 00:00:00,25138.5338,BUY,25078.5338,25258.5338,2.0,1,2025-07-06 06:00:00,25163.5338,EMA9_SIGNAL,25.0,2.0,10039.6,0.0994
2025-07-05 08:00:00,25149.064,SELL,25209.064,25029.064,2.0,1,2025-07-08 01:00:00,25152.604,EMA9_SIGNAL,-3.54,2.0,10036.06,-0.0141
2025-07-05 16:00:00,25159.3559,BUY,25099.3559,25279.3559,2.0,1,2025-07-09 00:00:00,25184.3559,EMA9_SIGNAL,25.0,2.0,10061.06,0.0994
2025-07-06 00:00:00,25169.3927,SELL,25229.3927,25049.3927,2.0,1,2025-07-06 06:00:00,25144.3927,EMA9_SIGNAL,25.0,2.0,10086.06,0.0993
2025-07-06 08:00:00,25179.1586,BUY,25119.1586,25299.1586,2.0,1,2025-07-09 09:00:00,25175.6186,EMA9_SIGNAL,-3.54,2.0,10082.52,-0.0141
2025-07-06 16:00:00,25188.6379,SELL,25248.6379,25068.6379,2.0,1,2025-07-09 19:00:00,25192.1779,EMA9_SIGNAL,-3.54,2.0,10078.98,-0.0141
2025-07-07 00:00:00,25197.8154,BUY,25137.8154,25317.8154,2.0,1,2025-07-08 06:00:00,25194.2754,EMA9_SIGNAL,-3.54,2.0,10075.44,-0.014
2025-07-07 08:00:00,25206.6764,SELL,25266.6764,25086.6764,2.0,1,2025-07-07 20:00:00,25210.2164,EMA9_SIGNAL,-3.54,2.0,10071.9,-0.014
2025-07-07 16:00:00,25215.2068,BUY,25155.2068,25335.2068,2.0,1,2025-07-10 09:00:00,25211.6668,EMA9_SIGNAL,-3.54,2.0,10068.36,-0.014
2025-07-08 00:00:00,25223.3929,SELL,25283.3929,25103.3929,2.0,1,2025-07-09 16:00:00,25198.3929,EMA9_SIGNAL,25.0,2.0,10093.36,0.0991
2025-07-08 08:00:00,25231.2217,BUY,25171.2217,25351.2217,2.0,1,2025-07-10 14:00:00,25256.2217,EMA9_SIGNAL,25.0,2.0,10118.36,0.0991
2025-07-08 16:00:00,25238.6805,SELL,25298.6805,25118.6805,2.0,1,2025-07-10 15:00:00,25213.6805,EMA9_SIGNAL,25.0,2.0,10143.36,0.0991
2025-07-09 00:00:00,25245.7575,BUY,25185.7575,25365.7575,2.0,1,2025-07-10 03:00:00,25270.7575,EMA9_SIGNAL,25.0,2.0,10168.36,0.099
2025-07-09 08:00:00,25252.4413,SELL,25312.4413,25132.4413,2.0,1,2025-07-12 18:00:00,25255.9813,EMA9_SIGNAL,-3.54,2.0,10164.82,-0.014
2025-07-09 16:00:00,25258.7213,BUY,25198.7213,25378.7213,2.0,1,2025-07-12 06:00:00,25255.1813,EMA9_SIGNAL,-3.54,2.0,10161.28,-0.014
2025-07-10 00:00:00,25264.5873,SELL,25324.5873,25144.5873,2.0,1,2025-07-11 11:00:00,25239.5873,EMA9_SIGNAL,25.0,2.0,10186.28,0.099
2025-07-10 08:00:00,25270.0301,BUY,25210.0301,25390.0301,2.0,1,2025-07-14 03:00:00,25295.0301,EMA9_SIGNAL,25.0,2.0,10211.28,0.0989
2025-07-10 16:00:00,25275.0409,SELL,25335.0409,25155.0409,2.0,1,2025-07-12 23:00:00,25278.5809,EMA9_SIGNAL,-3.54,2.0,10207.74,-0.014
2025-07-11 00:00:00,25279.6117,BUY,25219.6117,25399.6117,2.0,1,2025-07-13 17:00:00,25304.6117,EMA9_SIGNAL,25.0,2.0,10232.74,0.0989
2025-07-11 08:00:00,25283.7352,SELL,25343.7352,25163.7352,2.0,1,2025-07-13 21:00:00,25287.2752,EMA9_SIGNAL,-3.54,2.0,10229.2,-0.014
2025-07-11 16:00:00,25287.4048,BUY,25227.4048,25407.4048,2.0,1,2025-07-13 23:00:00,25312.4048,EMA9_SIGNAL,25.0,2.0,10254.2,0.0989
2025-07-12 00:00:00,25290.6145,SELL,25350.6145,25170.6145,2.0,1,2025-07-12 15:00:00,25294.1545,EMA9_SIGNAL,-3.54,2.0,10250.66,-0.014
